current_track-next_track,diff_acousticness,diff_danceability,diff_energy,diff_valence,diff_tempo,diff_instrumentalness,diff_key,diff_mode,diff_liveness,diff_loudness,diff_speechiness,is_good_sequence
11cDEev79fPKi6uJCjUhu8_2UxnZEvavlFv9dTbfrkNnd,0.02679,0.28400000000000003,0.256,0.08400000000000002,26.99000000000001,0.0,2.0,1.0,0.09399999999999996,3.391,0.0014999999999999946,1
2UxnZEvavlFv9dTbfrkNnd_6XkEw1h2Hq4fGnSm0JuSIs,0.038200000000000005,0.11699999999999999,0.03699999999999992,0.059,10.717000000000011,0.0,6.0,0.0,0.08800000000000001,1.0540000000000005,0.2978,1
6XkEw1h2Hq4fGnSm0JuSIs_5itOtNx0WxtJmi1TQ3RuRd,0.05690000000000001,0.13,0.345,0.14599999999999996,1.7360000000000042,0.000503,10.0,0.0,0.1319,2.699,0.3049,1
5itOtNx0WxtJmi1TQ3RuRd_2GqmEB1nvaeimGCPiTxiWY,0.131,0.361,0.17900000000000005,0.289,33.40300000000001,0.000503,0.0,0.0,0.012899999999999995,4.069000000000001,0.0332,1
2GqmEB1nvaeimGCPiTxiWY_5RO5lkFcFkwpNAMouPSikP,0.016999999999999987,0.25699999999999995,0.15799999999999992,0.623,80.44200000000002,1.0300000000000001e-05,7.0,1.0,0.0548,0.8300000000000011,0.0092,1
5RO5lkFcFkwpNAMouPSikP_7g9YrTuImvIkpS9uveKdCO,0.115,0.09099999999999996,0.01999999999999991,0.605,2.0279999999999774,1.0300000000000001e-05,3.0,1.0,0.0571,0.9079999999999996,0.0438,1
7g9YrTuImvIkpS9uveKdCO_2Fap2zMMINCLylSCSGQLEa,0.06899999999999998,0.07099999999999995,0.028000000000000025,0.13299999999999995,32.99500000000002,0.000147,9.0,1.0,0.0277,1.1929999999999996,0.0024,1
2Fap2zMMINCLylSCSGQLEa_4kuexchmxuc5NXmokfo1WH,0.07899999999999999,0.08799999999999998,0.06299999999999993,0.285,5.114999999999995,0.00014155,8.0,0.0,0.009999999999999995,1.117,0.0593,1
4kuexchmxuc5NXmokfo1WH_4gswPTzUBWVICFD3mW0T3e,0.042800000000000005,0.10299999999999998,0.006999999999999895,0.3549999999999999,41.20399999999999,5.45e-06,10.0,0.0,0.017100000000000004,1.5309999999999997,0.0454,1
4gswPTzUBWVICFD3mW0T3e_78Nyf6RlqBANlMhSnKyClT,0.1958,0.012000000000000122,0.22899999999999998,0.2960000000000001,44.105,0.0,11.0,1.0,0.04310000000000001,1.3250000000000002,0.05680000000000001,1
78Nyf6RlqBANlMhSnKyClT_2MDLioU5AzJf5uA48lxk2t,0.02300000000000002,0.08999999999999997,0.19500000000000006,0.3240000000000001,13.007000000000005,0.026000000000000002,6.0,0.0,0.03800000000000002,1.6850000000000014,0.0668,1
2MDLioU5AzJf5uA48lxk2t_4BiiOzZCrXEzHRLYcYFiD5,0.181,0.003000000000000003,0.01100000000000012,0.003000000000000003,10.048999999999992,0.025996400000000003,4.0,0.0,0.0206,0.4349999999999987,0.059599999999999986,1
4BiiOzZCrXEzHRLYcYFiD5_4qCgKKXa3CF6CzEDLW6vTt,0.47984,0.05700000000000005,0.07900000000000007,0.05500000000000005,14.966999999999983,3.1000000000000084e-07,8.0,0.0,0.009599999999999996,0.3959999999999999,0.052000000000000005,1
4qCgKKXa3CF6CzEDLW6vTt_3ciQQMSy1lKDqJbwU9l1LT,0.5188400000000001,0.008000000000000118,0.15100000000000002,0.010000000000000007,14.927999999999983,3.29e-06,2.0,1.0,0.0412,1.63,0.013499999999999998,1
3ciQQMSy1lKDqJbwU9l1LT_0E9ZjEAyAwOXZ7wJC0PD33,0.35100000000000003,0.030000000000000027,0.30100000000000005,0.2849999999999999,20.925,1.1e-05,5.0,0.0,0.0050000000000000044,1.881,0.1187,1
0E9ZjEAyAwOXZ7wJC0PD33_4D7tOyEvUdzNvkDXuD0PQW,0.3769999999999999,0.16200000000000006,0.41100000000000003,0.024,17.746000000000013,7.780000000000001e-05,6.0,0.0,0.017000000000000015,3.3630000000000004,0.1224,1
4D7tOyEvUdzNvkDXuD0PQW_3c0uKKorZypy13KkO1u8AD,0.233,0.3420000000000001,0.225,0.414,13.848000000000011,6.829999999999999e-05,5.0,1.0,0.033000000000000015,3.8000000000000007,0.0087,1
3c0uKKorZypy13KkO1u8AD_27rdGxbavYJeBphck5MZAF,0.31013,0.2730000000000001,0.21000000000000008,0.35700000000000004,7.9410000000000025,1.914e-05,2.0,0.0,0.25399999999999995,0.9459999999999996,0.031800000000000016,1
27rdGxbavYJeBphck5MZAF_4GOJf9VtmFYWeovlWB6ZZy,0.70713,0.07499999999999996,0.4710000000000001,0.057,29.027,6.454e-05,1.0,0.0,0.2976,3.9339999999999993,0.03780000000000002,1
4GOJf9VtmFYWeovlWB6ZZy_4Y0egRntUv2IcwUko540i2,0.6904000000000001,0.11199999999999999,0.31000000000000005,0.0060000000000000045,69.997,6.59e-05,2.0,0.0,0.24460000000000004,6.004,0.006900000000000003,1
4Y0egRntUv2IcwUko540i2_5j7EWOABg2RqWt6pDqzHZm,0.0137,0.038000000000000034,0.136,0.16400000000000006,8.881,4.16e-05,1.0,1.0,0.014000000000000012,1.6670000000000005,0.0331,1
5j7EWOABg2RqWt6pDqzHZm_5yNEdBlZMxpcVtGKz5NFk5,0.01013,0.07099999999999995,0.05900000000000005,0.069,53.89999999999999,4.16e-05,1.0,0.0,0.22900000000000004,1.3030000000000002,0.0369,1
